objectid,filename,title,creator,date,description,subject,location,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
coll137,lifta_220.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796128 N,35.196144 E,,,Image;StillImage,image/jpeg,,,
coll138,lifta_221.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796147 N,35.196147 E,,,Image;StillImage,image/jpeg,,,
coll139,lifta_222.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796147 N,35.196147 E,,,Image;StillImage,image/jpeg,,,
coll140,lifta_223.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796214 N,35.196169 E,,,Image;StillImage,image/jpeg,,,
coll141,lifta_224.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796247 N,35.196169 E,,,Image;StillImage,image/jpeg,,,
coll142,lifta_225.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796297 N,35.196186 E,,,Image;StillImage,image/jpeg,,,
coll143,lifta_226.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796289 N,35.196169 E,,,Image;StillImage,image/jpeg,,,
coll144,lifta_227.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796275 N,35.196133 E,,,Image;StillImage,image/jpeg,,,
coll145,lifta_228.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796275 N,35.196133 E,,,Image;StillImage,image/jpeg,,,
coll146,lifta_229.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796275 N,35.196133 E,,,Image;StillImage,image/jpeg,,,
coll147,lifta_23.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799292 N,35.197881 E,,,Image;StillImage,image/jpeg,,,
coll148,lifta_230.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796728 N,35.196247 E,,,Image;StillImage,image/jpeg,,,
coll149,lifta_231.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796969 N,35.196306 E,,,Image;StillImage,image/jpeg,,,
coll150,lifta_232.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.798289 N,35.196636 E,,,Image;StillImage,image/jpeg,,,
coll151,lifta_233.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.798694 N,35.196736 E,,,Image;StillImage,image/jpeg,,,
coll152,lifta_234.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795781 N,35.195939 E,,,Image;StillImage,image/jpeg,,,
coll153,lifta_235.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795839 N,35.196044 E,,,Image;StillImage,image/jpeg,,,
coll154,lifta_236.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795619 N,35.196169 E,,,Image;StillImage,image/jpeg,,,
coll155,lifta_237.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795550 N,35.195939 E,,,Image;StillImage,image/jpeg,,,
coll156,lifta_238.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795625 N,35.195975 E,,,Image;StillImage,image/jpeg,,,
coll157,lifta_239.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795703 N,35.196025 E,,,Image;StillImage,image/jpeg,,,
coll158,lifta_24.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799197 N,35.197758 E,,,Image;StillImage,image/jpeg,,,
coll159,lifta_240.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795703 N,35.196025 E,,,Image;StillImage,image/jpeg,,,
coll160,lifta_241.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795758 N,35.196086 E,,,Image;StillImage,image/jpeg,,,
coll161,lifta_242.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795758 N,35.196086 E,,,Image;StillImage,image/jpeg,,,
coll162,lifta_243.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795844 N,35.196122 E,,,Image;StillImage,image/jpeg,,,
coll163,lifta_244.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795844 N,35.196122 E,,,Image;StillImage,image/jpeg,,,
coll164,lifta_245.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796194 N,35.196208 E,,,Image;StillImage,image/jpeg,,,
coll165,lifta_246.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795794 N,35.196306 E,,,Image;StillImage,image/jpeg,,,
coll166,lifta_247.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795536 N,35.196031 E,,,Image;StillImage,image/jpeg,,,
coll167,lifta_248.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795397 N,35.196231 E,,,Image;StillImage,image/jpeg,,,
coll168,lifta_249.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795394 N,35.196189 E,,,Image;StillImage,image/jpeg,,,
coll169,lifta_25.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799606 N,35.197842 E,,,Image;StillImage,image/jpeg,,,
coll170,lifta_250.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795525 N,35.196281 E,,,Image;StillImage,image/jpeg,,,
coll171,lifta_251.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795419 N,35.196317 E,,,Image;StillImage,image/jpeg,,,
coll172,lifta_252.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795561 N,35.196300 E,,,Image;StillImage,image/jpeg,,,
coll173,lifta_253.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795575 N,35.196292 E,,,Image;StillImage,image/jpeg,,,
coll174,lifta_254.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795503 N,35.196342 E,,,Image;StillImage,image/jpeg,,,
coll175,lifta_255.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795422 N,35.196397 E,,,Image;StillImage,image/jpeg,,,
