objectid,filename,title,creator,date,description,subject,location,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
coll100,lifta_188.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796631 N,35.195928 E,,lifta_188.jpg,Image;StillImage,image/jpg,,,
coll101,lifta_189.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796567 N,35.195800 E,,lifta_189.jpg,Image;StillImage,image/jpg,,,
coll102,lifta_19.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799519 N,35.198281 E,,lifta_19.jpg,Image;StillImage,image/jpg,,,
coll103,lifta_190.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796661 N,35.195992 E,,lifta_190.jpg,Image;StillImage,image/jpg,,,
coll104,lifta_191.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796731 N,35.195633 E,,lifta_191.jpg,Image;StillImage,image/jpg,,,
coll105,lifta_192.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796631 N,35.195911 E,,lifta_192.jpg,Image;StillImage,image/jpg,,,
coll106,lifta_193.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796575 N,35.195911 E,,lifta_193.jpg,Image;StillImage,image/jpg,,,
coll107,lifta_194.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796589 N,35.195914 E,,lifta_194.jpg,Image;StillImage,image/jpg,,,
coll108,lifta_195.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796447 N,35.195714 E,,lifta_195.jpg,Image;StillImage,image/jpg,,,
coll109,lifta_196.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796517 N,35.195828 E,,lifta_196.jpg,Image;StillImage,image/jpg,,,
coll110,lifta_197.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796517 N,35.195828 E,,lifta_197.jpg,Image;StillImage,image/jpg,,,
coll111,lifta_198.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796678 N,35.195867 E,,lifta_198.jpg,Image;StillImage,image/jpg,,,
coll112,lifta_199.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796808 N,35.195842 E,,lifta_199.jpg,Image;StillImage,image/jpg,,,
coll113,lifta_2.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",,,,lifta_2.jpg,Image;StillImage,image/jpg,,,
coll114,lifta_20.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799361 N,35.198078 E,,lifta_20.jpg,Image;StillImage,image/jpg,,,
coll115,lifta_200.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796458 N,35.195797 E,,lifta_200.jpg,Image;StillImage,image/jpg,,,
coll116,lifta_201.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796183 N,35.195867 E,,lifta_201.jpg,Image;StillImage,image/jpg,,,
