objectid,filename,title,creator,date,description,subject,location,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
coll245,lifta_36.jpg,lifta_36.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.798011,35.1964,,242,Image;StillImage,image/jpeg,,,
coll246,lifta_37.jpg,lifta_37.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797792,35.196258,,243,Image;StillImage,image/jpeg,,,
coll247,lifta_38.jpg,lifta_38.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.7979,35.196336,,244,Image;StillImage,image/jpeg,,,
coll248,lifta_39.jpg,lifta_39.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797681,35.196331,,245,Image;StillImage,image/jpeg,,,
coll249,lifta_4.jpg,lifta_4.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.802061,35.201997,,246,Image;StillImage,image/jpeg,,,
coll250,lifta_40.jpg,lifta_40.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797864,35.196317,,247,Image;StillImage,image/jpeg,,,
coll251,lifta_41.jpg,lifta_41.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.798,35.196169,,248,Image;StillImage,image/jpeg,,,
coll252,lifta_42.jpg,lifta_42.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797894,35.196217,,249,Image;StillImage,image/jpeg,,,
coll253,lifta_43.jpg,lifta_43.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797853,35.196236,,250,Image;StillImage,image/jpeg,,,
coll254,lifta_44.jpg,lifta_44.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797539,35.196158,,251,Image;StillImage,image/jpeg,,,
coll255,lifta_45.jpg,lifta_45.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797519,35.196178,,252,Image;StillImage,image/jpeg,,,
coll256,lifta_46.jpg,lifta_46.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797567,35.196189,,253,Image;StillImage,image/jpeg,,,
coll257,lifta_47.jpg,lifta_47.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797567,35.196189,,254,Image;StillImage,image/jpeg,,,
coll258,lifta_48.jpg,lifta_48.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797564,35.195664,,255,Image;StillImage,image/jpeg,,,
